product_name,brand,category,sub_category,mrp_inr,sale_price_inr,description,image_url,discount_percent,product_url,availability,source,image_source,image_host
A-Line Midi Dress - Navy,Xellbuy,Dresses,Midi Dresses,3999,2999,Navy A-line midi dress with a soft flare and side pockets for everyday polish.,/images/products/extra-001.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Wrap Midi Dress - Rust,Xellbuy,Dresses,Midi Dresses,4499,3299,Rust wrap midi dress with tie waist and flutter sleeves for brunch or office.,/images/products/extra-002.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Linen Shirt Dress - Olive,Xellbuy,Dresses,Shirt Dresses,3799,2799,Breathable olive linen shirt dress with a relaxed belted silhouette.,/images/products/extra-003.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Smocked Maxi Dress - Terracotta,Xellbuy,Dresses,Maxi Dresses,4999,3699,Terracotta smocked maxi with adjustable straps and a flowing tiered skirt.,/images/products/extra-004.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Belted Shirt Dress - Khaki,Xellbuy,Dresses,Shirt Dresses,4299,3199,Khaki utility shirt dress with patch pockets and a removable fabric belt.,/images/products/extra-005.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Floral Tiered Dress - Coral,Xellbuy,Dresses,Mini Dresses,3599,2699,Coral floral tiered mini dress with a square neckline and soft volume.,/images/products/extra-006.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Ribbed Bodycon Midi - Black,Xellbuy,Dresses,Bodycon Dresses,3299,2499,Black ribbed knit bodycon midi with a scoop neck and stretch comfort.,/images/products/extra-007.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Puff Sleeve Mini Dress - Lavender,Xellbuy,Dresses,Mini Dresses,3899,2899,Lavender puff-sleeve mini with a fitted bodice and gentle A-line skirt.,/images/products/extra-008.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Linen Crop Top - Sand,Xellbuy,Tops,Crop Tops,1999,1499,Sand linen crop top with a square neckline and back tie detail.,/images/products/extra-009.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Oversized Cotton Tee - Stripe,Xellbuy,Tops,T-Shirts,1799,1299,Striped oversized cotton tee with dropped shoulders for relaxed weekends.,/images/products/extra-010.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Ruched Bardot Top - White,Xellbuy,Tops,Party Tops,2499,1899,White ruched bardot top with an off-shoulder neckline and stretch fit.,/images/products/extra-011.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Knit Tank Top - Sage,Xellbuy,Tops,Tank Tops,1599,1199,Sage ribbed knit tank with a high neckline and clean armholes.,/images/products/extra-012.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Puff Sleeve Blouse - Cream,Xellbuy,Blouses,Casual Blouses,2799,2099,Cream puff-sleeve blouse with a button front and soft peplum hem.,/images/products/extra-013.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Satin Wrap Blouse - Emerald,Xellbuy,Blouses,Satin Blouses,2999,2299,Emerald satin wrap blouse with a deep V and tie closure at the waist.,/images/products/extra-014.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Peplum Cotton Blouse - Dusty Blue,Xellbuy,Blouses,Work Blouses,2599,1999,Dusty blue cotton peplum blouse with a mandarin collar and structured hem.,/images/products/extra-015.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Tie-Front Blouse - Peach,Xellbuy,Blouses,Casual Blouses,2399,1799,Peach tie-front blouse with balloon sleeves and a cropped length.,/images/products/extra-016.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Banarasi Silk Saree - Gold,Xellbuy,Sarees,Silk Sarees,5999,4499,Gold-toned Banarasi silk saree with woven border and unstitched blouse piece.,/images/products/extra-017.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Georgette Saree - Teal,Xellbuy,Sarees,Georgette Sarees,5499,3999,Teal georgette saree with subtle shimmer and a lightweight festive drape.,/images/products/extra-018.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Cotton Handloom Saree - Mustard,Xellbuy,Sarees,Handloom Sarees,4799,3599,Mustard cotton handloom saree with a textured weave for daily elegance.,/images/products/extra-019.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Pastel Ombre Saree - Blush,Xellbuy,Sarees,Organza Sarees,5299,3899,Blush ombre organza saree with a soft gradient and delicate finish.,/images/products/extra-020.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Zari Border Saree - Royal Blue,Xellbuy,Sarees,Silk Sarees,5799,4299,Royal blue saree with zari border detailing for weddings and celebrations.,/images/products/extra-021.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Printed Anarkali Kurta - Indigo,Xellbuy,Ethnic Wear,Anarkali Kurtas,4499,3299,Indigo printed Anarkali kurta with flared hem and three-quarter sleeves.,/images/products/extra-022.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Cotton Straight Kurta - Mint,Xellbuy,Ethnic Wear,Straight Kurtas,2999,2299,Mint cotton straight kurta with minimal embroidery at the neckline.,/images/products/extra-023.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Kurta Set with Palazzo - Yellow,Xellbuy,Ethnic Sets,Kurta Sets,4999,3699,Yellow printed kurta set with palazzo pants and a matching dupatta.,/images/products/extra-024.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Sharara Set - Emerald,Xellbuy,Ethnic Sets,Sharara Sets,5499,3999,Emerald sharara set with mirror-work yoke and flared sharara pants.,/images/products/extra-025.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Anarkali Suit Set - Wine,Xellbuy,Ethnic Sets,Anarkali Suit Sets,4799,3599,Wine Anarkali suit with embroidered bodice straight pants and dupatta.,/images/products/extra-026.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Straight Suit with Dupatta - Beige,Xellbuy,Ethnic Sets,Straight Suit Sets,4299,3199,Beige straight suit with tonal thread work and a lightweight dupatta.,/images/products/extra-027.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Printed Lehenga Set - Peach,Xellbuy,Ethnic Sets,Lehenga Choli,5999,4499,Peach lehenga choli set with foil print and a net dupatta for festive wear.,/images/products/extra-028.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Chikankari Kurta Set - White,Xellbuy,Ethnic Sets,Kurta Sets,5199,3899,White chikankari kurta set with cotton trousers and sheer dupatta.,/images/products/extra-029.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Mom Fit Jeans - Light Blue,Xellbuy,Jeans,Mom Jeans,3499,2599,Light blue mom-fit jeans with a high waist and tapered leg.,/images/products/extra-030.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Skinny High-Rise Jeans - Black,Xellbuy,Jeans,Skinny Jeans,3299,2499,Black high-rise skinny jeans with stretch denim and classic five-pocket styling.,/images/products/extra-031.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Cropped Wide Jeans - Washed Blue,Xellbuy,Jeans,Wide Leg Jeans,3799,2799,Washed blue cropped wide-leg jeans with a raw hem and relaxed fit.,/images/products/extra-032.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
A-Line Midi Skirt - Denim,Xellbuy,Skirts,Denim Skirts,2499,1899,Denim A-line midi skirt with front slit and high waist.,/images/products/extra-033.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Pleated Maxi Skirt - Olive,Xellbuy,Skirts,Pleated Skirts,2699,1999,Olive pleated maxi skirt with an elastic waist and fluid movement.,/images/products/extra-034.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Wrap Midi Skirt - Burgundy,Xellbuy,Skirts,Wrap Skirts,2399,1799,Burgundy wrap midi skirt with tie closure and a soft satin handfeel.,/images/products/extra-035.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Cotton Shrug - Ivory,Xellbuy,Layering,Shrugs,2199,1699,Ivory cotton shrug with open front and three-quarter sleeves for layering.,/images/products/extra-036.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Knit Cardigan - Camel,Xellbuy,Layering,Cardigans,2799,2099,Camel knit cardigan with ribbed cuffs and a relaxed hip length.,/images/products/extra-037.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Denim Jacket - Light Wash,Xellbuy,Outerwear,Denim Jackets,3999,2999,Light-wash denim jacket with button front and chest pockets.,/images/products/extra-038.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Trench Coat - Beige,Xellbuy,Outerwear,Coats,4999,3699,Beige trench coat with belted waist and storm flap for transitional weather.,/images/products/extra-039.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Quilted Puffer Vest - Stone,Xellbuy,Outerwear,Vests,3499,2599,Stone quilted puffer vest with zip front and stand collar for cool days.,/images/products/extra-040.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
