product_name,brand,category,sub_category,mrp_inr,sale_price_inr,description,image_url,discount_percent,product_url,availability,source,image_source,image_host
Lace Trim Blouse - Ivory,Xellbuy,Blouses,Casual Blouses,2499,1899,Ivory blouse with delicate lace trim at the neckline and cuffs for polished everyday wear.,/images/products/extra-041.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Striped Office Blouse - Navy,Xellbuy,Blouses,Work Blouses,2699,1999,Navy striped office blouse with a structured collar and button front for workwear.,/images/products/extra-042.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Ruffled Chiffon Blouse - Blush,Xellbuy,Blouses,Casual Blouses,2399,1799,Blush chiffon blouse with soft ruffles and a relaxed feminine silhouette.,/images/products/extra-043.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Floral Cotton Blouse - Green,Xellbuy,Blouses,Casual Blouses,2199,1699,Green floral cotton blouse with a breezy fit for casual and brunch looks.,/images/products/extra-044.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
High-Neck Satin Blouse - Black,Xellbuy,Blouses,Satin Blouses,2799,2099,Black satin blouse with a high neckline and sleek finish for evening wear.,/images/products/extra-045.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Bell Sleeve Blouse - Mustard,Xellbuy,Blouses,Casual Blouses,2299,1799,Mustard bell-sleeve blouse with a flowy cut and vintage-inspired charm.,/images/products/extra-046.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Boyfriend Jeans - Mid Blue,Xellbuy,Jeans,Boyfriend Jeans,3299,2499,Mid-blue boyfriend jeans with a relaxed straight leg and classic five-pocket styling.,/images/products/extra-047.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Straight Leg Jeans - Dark Wash,Xellbuy,Jeans,Straight Leg Jeans,3499,2599,Dark-wash straight-leg jeans with a mid-rise waist and clean denim finish.,/images/products/extra-048.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
High-Rise Bootcut Jeans - Indigo,Xellbuy,Jeans,Bootcut Jeans,3699,2699,Indigo high-rise bootcut jeans with a flattering leg line and stretch comfort.,/images/products/extra-049.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Distressed Slim Jeans - Light Wash,Xellbuy,Jeans,Skinny Jeans,3199,2399,Light-wash slim jeans with subtle distressing and a high-rise fit.,/images/products/extra-050.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Cargo Jeans - Olive,Xellbuy,Jeans,Cargo Jeans,3399,2499,Olive cargo jeans with utility pockets and a relaxed tapered leg.,/images/products/extra-051.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
Paperbag Waist Jeans - Cream,Xellbuy,Jeans,Wide Leg Jeans,3599,2699,Cream paperbag-waist jeans with a tie belt and wide relaxed leg.,/images/products/extra-052.jpg,25,,In stock,Xellbuy catalogue,Local image,xellbuy.in
