id,name,category,brand,price,salePrice,image,stock,description
65,Lottie Dress - Bright Checker,Dresses,Xellbuy,6000,4500,https://cdn.shopify.com/s/files/1/0083/9181/9341/files/LottieBrightChecker4.jpg?v=1755541633,25,"Sweater-knit patchwork mini dress in a bright checker pattern, suitable for casual and party styling."
66,Sofia Dress - Blue Floral/White,Dresses,Xellbuy,5400,4050,https://cdn.shopify.com/s/files/1/0083/9181/9341/files/SofiaDressBlueFlat.png?v=1752178872,25,Blue floral mini dress with adjustable straps and a feminine silhouette for summer and occasion wear.
67,Kasey Top - White,Tops,Xellbuy,3500,2625,https://offe.market/cdn/shop/files/JBQHIGHSUMMER233173_edit_1000x_jpg.webp?v=1761865535,25,"Crisp white cotton-blend top with a collared neckline, short cuffed sleeves and a wrap-style waist."
68,Halls Cardigan - Verbena,Layering,Xellbuy,1850,1390,https://cdn.shopify.com/s/files/1/0083/9181/9341/files/HallsCardigan.Verbena.Allegra-2.jpg?v=1776799625,25,Organic cotton French-terry cardigan with raglan sleeves and a snap front for comfortable layering.
69,Core Crop Tank Top - Vibrant Red,Tops,Xellbuy,2200,1650,https://cdn.shopify.com/s/files/1/0083/9181/9341/files/OB-SS-25-7.jpg?v=1778611368,25,Stretchy organic-cotton racer-back crop top with a fitted silhouette and scoop neckline.
70,Jemma Bubble Top - Black Pink Bow,Tops,MySkyBuy,1700,1275,https://cdn.shopify.com/s/files/1/0083/9181/9341/files/lisa_says_gah_jemma_bubble_top_black2.jpg?v=1753920421,25,"Cropped bubble-hem top with playful pink bow detailing, designed for party and going-out looks."
71,Mindy Blouse - White,Blouses,skybuy,2500,1875,https://cdn.shopify.com/s/files/1/0083/9181/9341/files/45396db40d0e2a6ce5696a722780ecfbc456ab2c_xxl-1.jpg?v=1775258983,25,White blouse with puff sleeves and a feminine peplum silhouette for smart-casual outfits.
72,Core Butterfly Baby Tee - White,Tops,MySkyBuy,1600,1200,https://cdn.shopify.com/s/files/1/0083/9181/9341/files/dg_ob-wonen-organic_cotton-core-butterfly_baby_tee-white-studio-1.jpg?v=1773686846,25,Slim-fit white organic-cotton baby tee with a clean cropped silhouette for everyday casual wear.
73,Wide Cut Jeans - Grey,Jeans,MySkyBuy,4665,3499,https://offe.market/cdn/shop/files/a3a37f94322c85ecbf7966b24530f6df845b13fa_xxl-1-default-womenfootwear6_front-Dakota-LightStudio.jpg?v=1778906635,25,High-waist wide-cut grey jeans with a relaxed extra-long leg and five-pocket construction.
74,Women's Blue Denim Shirt,Shirts,MySkyBuy,2265,1699,https://images.bewakoof.com/original/women-s-blue-denim-shirt-541110-1662623847-1.jpg,25,"Classic blue denim button-up shirt with a collar, full sleeves and front chest pockets."
75,Gabrielle Maxi - Black,Dresses,MySkyBuy,11300,5900,https://offe.market/cdn/shop/files/GABRIELLE_MAXI_1258_1100x_9ac59457-eca4-4810-a325-ef66657805fa.jpg?v=1752277487,25,"Flared-sleeve, double-layered maxi dress with a boatneck neckline and waist cut-outs in stretchy modal fabric — dressy enough for occasions, easy enough for everyday."
76,Virelle Mesh Dress,Dresses,MySkyBuy,20300,6450,https://offe.market/cdn/shop/files/butterflymeshfront-Nika-LightStudio.jpg?v=1780635409,25,"Fitted mesh midi dress with an asymmetric waterfall neckline, adjustable shoulder straps and mesh lining, in a polyester-spandex blend."
